"Model","Count"
"Infoblox Automation4000","1"
"Cisco catalyst37xxStack","815"
"Cisco cat4506","98"
"Cisco cat6509","96"
"Cisco WS-C3560CG-8PC-S","1"
"Cisco catalyst2960G8TC","19"
"Cisco 3825","3"
"Cisco catalyst35608PC","2"
"Cisco catalyst3560E12SD","2"
"Cisco catalyst356024PS","12"
"Cisco catalyst29608TC","7"
"Cisco catalyst355024PWR","4"
"Cisco catalyst355048","8"
"Cisco catalyst295024C","1"
"Cisco catalyst356012PCS","2"
"Cisco WSC6503","2"
"Cisco css11503","1"
"Cisco CBS3130","14"
"Cisco css11506","4"
"Cisco N5kC5548p","8"
"Cisco ACE4710K9","4"
"Cisco cat6506","6"
"Cisco catalyst4506e","27"
"Cisco catalyst3560G48TS","3"
"Cisco N5kC5020pBf","2"
"Cisco catalyst2960G24","2"
"Cisco N1KV","2"
"Cisco ASA5520","3"
"Cisco catalyst492810GE","2"
"Cisco catalyst4510re","2"
"Cisco cat29xxStack","4"
"Cisco catalyst3560E48PD","1"
"Cisco catalyst3560E48TD","2"
"Cisco WSC6504E","30"
"Cisco AIR-CT5508-K9","4"
"Cisco catalyst494810GE","22"
"Cisco catalyst355024","3"
"Cisco N7Kc7010","2"
"Cisco N5kC5548UP","13"
"Cisco 0","17"
"Cisco cat4500X16","22"
"Cisco catalyst4507re","9"
"Cisco WSC6513","7"
"Cisco cat4507","7"
"Cisco catalyst3560G24PS","3"
"Cisco WSC6509ve","4"
"Cisco cat4900M","7"
"Cisco catalyst4948ef10GE","16"
"Dell PowerConnect 6224","1"
"Dell PowerConnect M6220","16"
"Dell PowerConnect 6248","8"
"Cisco catalyst295048G","2"
"Juniper EX4200","1"
"Cisco catWsCbs3032Del","32"
"Cisco catalyst65xxVirtualSwitch","10"
"Cisco ASR9010","2"
"Cisco AIR-WLC4404-100-K9","2"
"Cisco WLC4404-100","6"
"Cisco AIR-WLC4402-50-K9","1"
"Cisco WsSvcFwm1sc","17"
"Cisco cat6500FirewallSm","15"
"Cisco ASA5585Ssp60","1"
"Cisco ASA5510","2"
"Cisco 3945","1"
"Cisco 1841","1"
"Cisco ASA5540","4"
"Cisco 2821","2"
"Cisco 7603","1"
"Cisco ASA5505","23"
"Cisco 3925","3"
"Infoblox IB-2000-A","1"
"Infoblox IB-1550-A","9"
"Infoblox IB-2220","3"
"Infoblox IB-1552-A","2"
"Infoblox IB-1050-A","8"
"Infoblox IB-2000","1"
"Cisco catalyst296024LCS","4"
"Cisco ASA5585Ssp40","2"
"Cisco WS-SVC-WISM2-K9","7"
"Cisco ASASm1sc","2"
"Cisco AIRAP1210","6"
"Cisco 2811","1"
"Juniper EX4500","1"
"Cisco wsc1900LiteFx","1"
"Fortinet fgt3600C","3"
"Cisco ASA5585Ssp20","2"
"Cisco 3640","1"
"Cisco cat3560x48","7"
"Fortinet fgt1000C","1"
"Cisco N7Kc7009","2"
"Dell PowerConnect 7048","1"
"Cisco catalyst29408TF","1"
"Cisco catalyst296048","1"
"Cisco catalyst295024","1"
