"Version","Count"
"Infoblox 6.7.3.12","1"
"Cisco 12.2(25)EWA9","1"
"Cisco 12.2(33)SXI3","4"
"Cisco 12.2(55)EX2","1"
"Cisco 12.4(25c)","1"
"Cisco 12.2(58)SE1","17"
"Cisco 12.2(25)EWA14","2"
"Cisco 12.2(25)SEE2","31"
"Cisco 12.2(53)SE2","6"
"Cisco 12.2(50)SE1","1"
"Cisco 12.2(25)SEB1","2"
"Cisco 12.1(22)EA1","4"
"Cisco 12.2(55)SE8","1"
"Cisco 12.1(22)EA12","1"
"Cisco 12.2(25)EWA","16"
"Cisco 12.2(25)EWA4","3"
"Cisco 12.2(55)SE4","22"
"Cisco 15.0(2)SE4","4"
"Cisco 12.2(52)SE","356"
"Cisco 12.2(25)SG","2"
"Cisco 12.1(27b)E1","1"
"Cisco 08.20.5.01","1"
"Cisco 08.20.3.03","4"
"Cisco 5.0(3)N1(1b)","2"
"Cisco A3(2.0)","2"
"Cisco 12.2(40)SG","5"
"Cisco 15.0(2)SE","183"
"Cisco 12.2(54)SG","1"
"Cisco 12.2(46)SG","2"
"Cisco 12.2(52)SG","2"
"Cisco 12.2(37)SG","1"
"Cisco 03.03.00.SG","14"
"Cisco 5.0(3)N2(2a)","2"
"Cisco 12.2(18)SXF17a","1"
"Cisco 12.2(44)SE","7"
"Cisco 4.2(1)SV2(1.1a)","2"
"Cisco 12.2(55)SE5","16"
"Cisco 12.2(53)SG2","5"
"Cisco 12.2(33)SXI4","7"
"Cisco 12.2(55)SE","5"
"Cisco 7.0.235.3","11"
"Cisco 12.2(50)SE3","1"
"Cisco 12.2(44)SE6","9"
"Cisco 12.2(31)SGA7","1"
"Cisco 5.2(3a)","1"
"Cisco 12.2(53)SG1","14"
"Cisco 5.0(3)N2(1)","2"
"Cisco 12.2(50)SE","159"
"Cisco 12.2(18)SXF4","1"
"Cisco 12.2(46)SG1","2"
"Cisco 12.2(25)EWA6","68"
"Cisco 03.03.01.SG","12"
"Cisco 12.2(18)SXF13","6"
"Cisco 12.2(18)SXF11","1"
"Cisco 12.2(33)SXH4","1"
"Cisco 03.03.02.SG","33"
"Cisco 12.2(18)SXF7","94"
"Cisco 12.2(53)SE","48"
"Cisco 12.2(50)SE2","3"
"Cisco 12.2(50)SG1","5"
"Cisco 12.2(46)SE","13"
"Dell 3.3.1.10","2"
"Dell 3.1.5.7","1"
"Dell 3.3.6.4","2"
"Cisco 12.1(22)EA13","3"
"Juniper 12.3R3.4","1"
"Cisco 12.2(54)SG1","5"
"Cisco 12.2(53)SG","14"
"Cisco 12.2(44)SE1","1"
"Cisco 12.2(33)SXI6","8"
"Cisco 4.2.3[Default]","2"
"Cisco 4.1(7)","13"
"Cisco 8.4(2)8","1"
"Cisco 12.2(25)SEB4","1"
"Cisco 15.1(2)GC","1"
"Cisco 12.4(15)XY5","1"
"Cisco 8.4(3)","4"
"Cisco 12.2(44)SE2","2"
"Cisco 12.4(21)","1"
"Cisco 12.4(24)T1","1"
"Cisco 12.4(12)","1"
"Cisco 12.2(25)EWA8","2"
"Cisco 12.2(33)SXJ2","3"
"Cisco 12.2(33)SXH","1"
"Cisco 12.2(33)SXI4a","19"
"Cisco 12.4(3i)","1"
"Cisco 12.2(44)SG","2"
"Cisco 8.0(5)","5"
"Cisco 8.0(5)25","22"
"Cisco 8.2(1)","1"
"Cisco 15.0(1)SY1","2"
"Cisco 15.2(3)T3","3"
"Infoblox 6.5.2","1"
"Infoblox 6.8.1","23"
"Cisco 12.2(58)SE2","38"
"Cisco 4.1(5)","2"
"Cisco 7.5.102.0","7"
"Cisco 12.2(50)SE5","5"
"Dell 3.2.0.7","3"
"Cisco 8.4(6)","4"
"Cisco 8.5(1)","2"
"Cisco 5.2(1)N1(1)","1"
"Cisco 12.2(55)SE1","4"
"Cisco 5.1(3)N2(1)","6"
"Cisco 12.2(55)SE6","1"
"Cisco 12.2(55)SE3","6"
"Cisco 7.4.100.0","2"
"Cisco 12.2(37)SE1","1"
"Cisco 4.1(9)","17"
"Cisco 12.3(8)JEC3","6"
"Cisco 5.1(3)N2(1b)","4"
"Cisco 12.4(24)T4","1"
"Cisco 15.0(2)SG6","13"
"Juniper 11.4R2.14","1"
"Cisco 5.1(3)N1(1a)","2"
"Cisco 8.01.02","1"
"Dell 3.2.1.3","1"
"Cisco 12.2(18)EW","1"
"Cisco 12.2(33)SXJ3","1"
"Fortinet 5.0.0","2"
"Cisco 15.0(1)SY4","4"
"Cisco 12.4(25d)","1"
"Cisco 15.1(1)SG2","2"
"Fortinet 5.0.0.P2","1"
"Cisco 6.1(3)","1"
"Dell 5.0.1.3","15"
"Force10 8.3.10.3","1"
"Cisco 6.1(4)","2"
"Cisco 5.2(1)N1(1b)","4"
"Cisco 12.2(33)SXI9","1"
"Cisco 15.0(1)SY3","1"
"Dell 4.2.1.3","1"
"Dell 3.3.3.3","1"
"Fortinet 5.0","1"
"Cisco 15.0(2)SG3","1"
"Cisco 12.1(22)EA14","1"
